filepath,slice,x,y,label
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0067.npy,22,131,142,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0086.npy,17,137,159,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0013.npy,17,127,154,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0029.npy,15,129,132,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0035.npy,15,144,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0056.npy,12,137,121,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0001.npy,11,125,124,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0052.npy,19,141,123,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0008.npy,17,129,160,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0048.npy,8,125,212,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0071.npy,10,128,137,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0067.npy,21,117,165,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0238.npy,8,127,188,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0999.npy,11,139,108,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0081.npy,12,108,153,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,50,231,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0022.npy,16,119,139,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0395.npy,9,117,96,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0833.npy,20,213,48,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0024.npy,18,153,149,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0023.npy,17,137,124,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0028.npy,14,122,132,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0329.npy,0,130,192,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0095.npy,17,145,117,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0086.npy,8,239,51,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0012.npy,17,125,136,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0067.npy,22,131,147,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0031.npy,15,122,160,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0047.npy,13,145,119,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0015.npy,15,135,139,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0019.npy,14,133,127,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0092.npy,16,129,133,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0089.npy,12,124,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,22,119,160,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0088.npy,14,140,93,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0271.npy,6,19,200,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0057.npy,1,148,164,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0238.npy,8,65,106,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0041.npy,17,129,138,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0046.npy,10,125,143,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0048.npy,14,112,173,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0084.npy,16,125,140,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0089.npy,12,134,133,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,22,113,146,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0037.npy,15,117,146,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,23,127,126,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0050.npy,18,128,105,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0019.npy,15,120,143,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,21,150,127,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0999.npy,11,55,148,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0002.npy,18,135,140,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,11,21,143,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0042.npy,18,154,148,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0978.npy,1,189,32,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0084.npy,16,117,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0090.npy,14,124,148,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0056.npy,12,121,142,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0035.npy,15,144,145,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0050.npy,9,96,171,0
